Threads,Auto,AVX
1,0.000914672,0.00086487
2,0.000775302,0.000437476
3,0.000774695,0.000293724
4,0.000774666,0.000213948
5,0.000774649,0.000185435
6,0.00077508,0.000178591
7,0.000774364,0.000206845
8,0.000775079,0.000144496
9,0.00077509,0.000164233
10,0.000774754,0.000160893
11,0.000775073,0.00014933
12,0.000773979,0.000136561
13,0.000774624,0.000138457
14,0.00077398,0.000193101
15,0.000774213,0.000138819
16,0.000774237,0.000121906
17,0.000774328,0.000188421
18,0.000774364,0.000116343
19,0.000774211,0.000195641
20,0.000774477,0.000138509
21,0.000807072,0.00016487
22,0.000813205,0.000160116
23,0.000814978,0.000170853
24,0.000809009,0.000166418
25,0.000815612,0.000176239
26,0.000807895,0.000145304
27,0.000810748,0.000178793
28,0.000812782,0.000187593
29,0.000808788,0.000208856
30,0.000816417,0.000142295
31,0.00081502,0.000145562
32,0.00081257,0.000111632
33,0.000813527,0.000153191
34,0.000815587,0.000165031
35,0.000811991,0.000155228
36,0.000813295,8.76446e-05
37,0.000809666,0.000199328
38,0.00081085,0.000197726
39,0.000815202,0.000198013
40,0.000816372,0.000198278
41,0.00081439,0.000187008
42,0.000811771,0.000151654
43,0.000810931,0.000176346
44,0.000814832,0.000155399
45,0.000814468,0.000169713
46,0.000813297,0.000111619
47,0.000812412,9.92398e-05
48,0.000812813,0.000134541
49,0.000813634,0.000151219
50,0.000814639,0.000162528
51,0.000809378,0.000160931
52,0.000809335,0.000158011
53,0.000812249,0.000164204
54,0.000809758,8.25024e-05
55,0.000804787,0.000103266
56,0.000805362,0.000116842
57,0.000789488,0.000169559
58,0.000790851,0.000164141
59,0.000792237,0.000133281
60,0.000793307,0.000158245
61,0.000794454,0.00015978
62,0.000795256,0.000159194
63,0.000795906,0.00014348
64,0.000796744,0.00013288
65,0.000796984,0.000135582
66,0.000797064,0.000154271
67,0.000811972,0.00014551
68,0.000844897,0.00013658
69,0.000843089,0.000160768
70,0.000845974,0.000148911
71,0.000843983,0.000127544
72,0.000841125,0.000140502
73,0.000841595,7.62099e-05
74,0.000844827,0.000154835
75,0.000841596,0.000131082
76,0.000841655,0.000143508
77,0.000840652,6.87825e-05
78,0.000840829,6.95743e-05
79,0.000839023,6.79521e-05
80,0.000839706,6.96603e-05
81,0.000845221,8.93567e-05
82,0.000799654,6.80455e-05
83,0.000798902,6.64443e-05
84,0.000800108,6.79894e-05
85,0.00079911,6.85053e-05
86,0.000769464,6.86445e-05
87,0.000765872,6.87603e-05
88,0.000773783,6.95358e-05
89,0.000769621,6.94591e-05
90,0.000768541,7.16089e-05
91,0.000769957,7.27211e-05
92,0.000798528,7.10979e-05
93,0.000801566,7.62382e-05
94,0.000801169,7.06746e-05
95,0.000769896,7.18904e-05
96,0.000769899,7.37121e-05
